lyap,corr_dim,ap_entropy,system
0.0009062033429218847,1.3034536578773754,0.026955008303344543,rossler
0.0006502754342188916,1.4213000993097504,0.030518902828979105,rossler
0.0010031288874946705,1.4655232050216473,0.03246528761795909,rossler
0.000946524371885891,1.4807713514243517,0.03337102803406432,rossler
0.00887440699896412,1.5815811122720664,0.14420030337232487,lorenz63
0.011247380894122144,1.6893158903766088,0.15212122265860034,lorenz63
0.007605150907975058,1.6535387889755266,0.1562382245123402,lorenz63
0.01093540218208787,1.6896463733103595,0.14948376917357875,lorenz63
0.0006573384912311262,1.6497442078316615,0.1057413128689709,aizawa
0.0003872330649791032,1.5922671804996518,0.1078996065807428,aizawa
0.0007133483145095904,1.3040826189014463,0.10491722686532116,aizawa
0.00041026455457971193,1.394273110050555,0.10696575855024619,aizawa
0.019032763442264553,1.2688377281773449,0.041149320760903656,dadras
0.0228991866361073,1.2406086102937297,0.038766739890286006,dadras
0.016090771381747866,1.2562356733317874,0.041672190675472634,dadras
0.012186095104024854,1.1455545736063355,0.03472864944583071,dadras
0.002475027883171827,1.621857334369552,0.07963450022214554,sprott
0.0027618508997623507,1.6061592087716936,0.07895642527755416,sprott
0.005509921251725979,1.610612874708717,0.07987532257156706,sprott
0.0031340526691115956,1.588899797317043,0.07947145476372496,sprott
